question_id,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source_field,tags
Q204,Which city or region is Yasiin Bey associated with?,"Brooklyn, NY","Bowling Green, KY","Central Islip, NY","Detroit, MI",Origin,Easy,origin,location
Q205,What is the real name of Yasiin Bey?,Yasiin Bey,Mach-Hommy,Samara Henderson,Donald McKinley Glover Jr.,Real Name,Medium,real_name,identity
Q206,"What year was Tyler, The Creator born?",1991,1974,1979,1976,Birth Year,Easy,birth_year,"bio,origin"
Q207,"Which city or region is Tyler, The Creator associated with?","Los Angeles, CA","Washington, D.C.","San Antonio, TX","Chattanooga, TN",Origin,Easy,origin,location
Q208,"What is the real name of Tyler, The Creator?",Tyler Gregory Okonma,Lola Chantrelle Mitchell,Christopher Brian Bridges,Sir Robert Bryson Hall II,Real Name,Medium,real_name,identity
Q209,What year was Chino XL born?,1974,1990,1989,1991,Birth Year,Easy,birth_year,"bio,origin"
Q210,Which city or region is Chino XL associated with?,"East Orange, NJ","College Park, GA","Virginia Beach, VA","Inglewood, CA",Origin,Easy,origin,location
Q211,What is the real name of Chino XL?,Derek Keith Barbosa,Christopher Smith Jr.,Various Members,Christopher George Latore Wallace,Real Name,Medium,real_name,identity
Q212,What year was Lil Scrappy born?,1984,1981,1969,1982,Birth Year,Easy,birth_year,"bio,origin"
Q213,Which city or region is Lil Scrappy associated with?,"Atlanta, GA","Compton, CA","New Orleans, LA","Memphis, TN",Origin,Easy,origin,location
Q214,What is the real name of Lil Scrappy?,Darryl Raynard Richardson III,Ermias Joseph Asghedom,Corey Woods,Kanye Omari West,Real Name,Medium,real_name,identity
Q215,What year was Roxanne Shanté born?,1969,1982,1967,1986,Birth Year,Easy,birth_year,"bio,origin"
Q216,Which city or region is Roxanne Shanté associated with?,"Queensbridge, NY","Yonkers, NY","Brownsville, Brooklyn","Queens, NY",Origin,Easy,origin,location
Q217,What is the real name of Roxanne Shanté?,Lolita Shanté Gooden,Victor James Santiago Jr.,Hasben Jones,Jason S Hunter,Real Name,Medium,real_name,identity
Q218,What year was MF DOOM born?,1971,1979,1983,1994,Birth Year,Easy,birth_year,"bio,origin"
Q219,Which city or region is MF DOOM associated with?,"Long Island, NY","Buffalo, NY","Memphis, TN","Yonkers, NY",Origin,Easy,origin,location
Q220,What is the real name of MF DOOM?,Daniel Dumile,Lolita Shanté Gooden,Robert Fitzgerald Diggs,Paul Micheal Slayton,Real Name,Medium,real_name,identity
Q221,What year was Mac Miller born?,1992,1977,1991,1968,Birth Year,Easy,birth_year,"bio,origin"
Q222,Which city or region is Mac Miller associated with?,"Pittsburgh, PA","Vallejo, CA","Portsmouth, VA","Cleveland, OH",Origin,Easy,origin,location
Q223,What is the real name of Mac Miller?,Malcolm James McCormick,Xavier Landum,John R. Austin II,Jayceon Terrell Taylor,Real Name,Medium,real_name,identity
Q224,What year was Ken Carson born?,2000,1980,1986,1998,Birth Year,Easy,birth_year,"bio,origin"
Q225,Which city or region is Ken Carson associated with?,"Atlanta, GA","Brownsville, Brooklyn","Saint James, Trinidad and Tobago","Minneapolis, Minnesota",Origin,Easy,origin,location
Q226,What is the real name of Ken Carson?,Kenyatta Lee Frazier Jr.,Tahj Malik Chandler,Ryan Daniel Montgomery,Webster Gradney Jr.,Real Name,Medium,real_name,identity
Q227,What year was Lauryn Hill born?,1975,2008,1983,1958,Birth Year,Easy,birth_year,"bio,origin"
Q228,Which city or region is Lauryn Hill associated with?,"East Orange, NJ","Los Angeles, CA","Kansas City, MO","Long Island, NY",Origin,Easy,origin,location
Q229,What is the real name of Lauryn Hill?,Lauryn Noelle Hill,Adam Aminé Daniel,"Q-Tip, Phife Dawg",Noah Olivier Smith,Real Name,Medium,real_name,identity
Q230,What year was Soulja Boy born?,1990,1976,1965,1992,Birth Year,Easy,birth_year,"bio,origin"
Q231,Which city or region is Soulja Boy associated with?,"Atlanta, GA","Murfreesboro, TN","Bay Area, CA","Kingston, Jamaica",Origin,Easy,origin,location
Q232,What is the real name of Soulja Boy?,DeAndre Cortez Way,Jeffery Lamar Williams,Darold Durard Brown Ferguson Jr.,Duval Clear,Real Name,Medium,real_name,identity
Q233,What year was JasonMartin born?,1985,1983,1980,1974,Birth Year,Easy,birth_year,"bio,origin"
Q234,Which city or region is JasonMartin associated with?,"Compton, CA","Lima, Peru","South Orange, NJ","Mableton, GA",Origin,Easy,origin,location
Q235,What is the real name of JasonMartin?,Jason L. Martin,Webster Gradney Jr.,Tauheed K. Epps,Jason Douglas Newman,Real Name,Medium,real_name,identity
Q236,What year was Black Thought born?,1971,1966,2001,1967,Birth Year,Easy,birth_year,"bio,origin"
Q237,Which city or region is Black Thought associated with?,"Philadelphia, PA","Murfreesboro, TN","Portsmouth, VA","Cape Town, South Africa",Origin,Easy,origin,location
Q238,What is the real name of Black Thought?,Tariq Luqmaan Trotter,Torrence Ivy Hatch Jr.,Lolita Shanté Gooden,Juaquin James Malphurs,Real Name,Medium,real_name,identity
Q239,What year was The Pharcyde born?,1989,1975,1994,1966,Birth Year,Easy,birth_year,"bio,origin"
Q240,Which city or region is The Pharcyde associated with?,"Los Angeles, CA","Winston-Salem, NC","Harlem, NY","Morrisville, PA",Origin,Easy,origin,location
Q241,What is the real name of The Pharcyde?,"Imani, Slimkid3, Bootie Brown, Fatlip",Samara Henderson,Dwight Equan Grant,Germaine Williams,Real Name,Medium,real_name,identity
Q242,What year was The Game born?,1979,1990,2008,1996,Birth Year,Easy,birth_year,"bio,origin"
Q243,Which city or region is The Game associated with?,"Compton, CA","Chicago, IL","Winston-Salem, NC","Kingston, Jamaica",Origin,Easy,origin,location
Q244,What is the real name of The Game?,Jayceon Terrell Taylor,Jeffrey James Sidhoo,Alvin Nathaniel Joiner,Ricardo Emmanuel Brown,Real Name,Medium,real_name,identity
Q245,Which city or region is Outkast associated with?,"Atlanta, GA","Brooklyn, NY","Los Angeles, CA","New York, NY",Origin,Easy,origin,location
Q246,What is the real name of Outkast?,André 3000 & Big Boi,"Treach, Vin Rock",Simmie Sims III,Dwight Arrington Myers,Real Name,Medium,real_name,identity
Q247,Which city or region is UGK associated with?,"Port Arthur, TX","Louisville, KY","Long Island, NY","Canton, OH",Origin,Easy,origin,location
Q248,What is the real name of UGK?,"Bun B, Pimp C",Yannick Koffi,Jason L. Martin,Terelle Smith,Real Name,Medium,real_name,identity
Q249,What year was Papoose born?,1978,1969,1992,1970,Birth Year,Easy,birth_year,"bio,origin"
Q250,Which city or region is Papoose associated with?,"Brooklyn, NY","Vallejo, CA","Pontiac, MI","Raleigh, NC",Origin,Easy,origin,location
Q251,What is the real name of Papoose?,Shamele Mackie,Michael Santiago Render,Teren Delvon Jones,Jason Green,Real Name,Medium,real_name,identity
Q252,What year was Kodak Black born?,1997,1974,1966,1994,Birth Year,Easy,birth_year,"bio,origin"
Q253,Which city or region is Kodak Black associated with?,"Pompano Beach, FL","Bowling Green, KY",Virginia,"Chattanooga, TN",Origin,Easy,origin,location
Q254,What is the real name of Kodak Black?,Dieuson Octave,Barry Adrian Reese,Bashir Yagami,Hykeem Jamaal Carter Jr.,Real Name,Medium,real_name,identity
Q255,What year was Doja Cat born?,1995,1976,1962,1971,Birth Year,Easy,birth_year,"bio,origin"
Q256,Which city or region is Doja Cat associated with?,"Los Angeles, CA","Ithaca, NY","Manhattan, NY","Cheltenham Township, PA",Origin,Easy,origin,location
Q257,What is the real name of Doja Cat?,Amala Ratna Zandile Dlamini,Philip Bernard,Victor Kwesi Mensah,"Imani, Slimkid3, Bootie Brown, Fatlip",Real Name,Medium,real_name,identity
Q258,What year was Rakim born?,1968,1998,1966,1989,Birth Year,Easy,birth_year,"bio,origin"
Q259,Which city or region is Rakim associated with?,"Wyandanch, NY","Flint, MI","Murfreesboro, TN","Minneapolis, Minnesota",Origin,Easy,origin,location
Q260,What is the real name of Rakim?,William Michael Griffin Jr.,Dwight Equan Grant,Jason Terrance Phillips,"Pusha T, Malice",Real Name,Medium,real_name,identity
Q261,What year was Nipsey Hussle born?,1985,1991,1976,1973,Birth Year,Easy,birth_year,"bio,origin"
Q262,Which city or region is Nipsey Hussle associated with?,"Los Angeles, CA","Columbus, OH","Pontiac, MI","Inglewood, CA",Origin,Easy,origin,location
Q263,What is the real name of Nipsey Hussle?,Ermias Joseph Asghedom,Kentrell DeSean Gaulden,Jarad Anthony Higgins,Lolita Shanté Gooden,Real Name,Medium,real_name,identity
Q264,What year was Lil Baby born?,1994,1986,1977,1995,Birth Year,Easy,birth_year,"bio,origin"
Q265,Which city or region is Lil Baby associated with?,"Atlanta, GA","Virginia Beach, VA","Central Islip, NY","South Orange, NJ",Origin,Easy,origin,location
Q266,What is the real name of Lil Baby?,Dominique Armani Jones,Leonard Eugene Hendricks III,Dwayne Michael Carter Jr.,"Big Gipp, CeeLo Green, Khujo, T-Mo",Real Name,Medium,real_name,identity
Q267,What year was Jean Grae born?,1976,1989,1974,1998,Birth Year,Easy,birth_year,"bio,origin"
Q268,Which city or region is Jean Grae associated with?,"Cape Town, South Africa","Oakland, CA","Edwards Air Force Base, CA","Montgomery, AL",Origin,Easy,origin,location
Q269,What is the real name of Jean Grae?,Tsidi Ibrahim,Todd Anthony Shaw,"Erick Sermon, PMD",Yasiin Bey,Real Name,Medium,real_name,identity
Q270,What year was Vic Mensa born?,1993,1958,1978,1979,Birth Year,Easy,birth_year,"bio,origin"
Q271,Which city or region is Vic Mensa associated with?,"Chicago, IL","Brownsville, Brooklyn","Detroit, MI","Kingston, Jamaica",Origin,Easy,origin,location
Q272,What is the real name of Vic Mensa?,Victor Kwesi Mensah,Percy Robert Miller Sr.,Wasalu Muhammad Jaco,Jeffery Lamar Williams,Real Name,Medium,real_name,identity
Q273,What year was Open Mike Eagle born?,1980,1968,1969,1967,Birth Year,Easy,birth_year,"bio,origin"
Q274,Which city or region is Open Mike Eagle associated with?,"Chicago, IL","Carson, CA","Mableton, GA","Baltimore, MD",Origin,Easy,origin,location
Q275,What is the real name of Open Mike Eagle?,Michael Eagle II,Corey Woods,"T3, J Dilla, Baatin, Elzhi, J Illa, Young RJ",Johnathan Jamall Porter,Real Name,Medium,real_name,identity
Q276,What year was Flo Milli born?,2000,1971,1969,1977,Birth Year,Easy,birth_year,"bio,origin"
Q277,Which city or region is Flo Milli associated with?,"Mobile, AL","Brooklyn, NY","Irvine, CA","Corona, Queens",Origin,Easy,origin,location
Q278,What is the real name of Flo Milli?,Tamia Monique Carter,Kanye Omari West,"Phonte, Rapper Big Pooh","Taboo, will.i.am, APL.DE.AP",Real Name,Medium,real_name,identity
Q279,What year was 50 Cent born?,1975,1999,1958,1987,Birth Year,Easy,birth_year,"bio,origin"
Q280,Which city or region is 50 Cent associated with?,"Queens, NY","Mobile, AL","Buffalo, NY","Watts, CA",Origin,Easy,origin,location
Q281,What is the real name of 50 Cent?,Curtis James Jackson III,Angel Del Villar II,Jeffery Lamar Williams,"Taboo, will.i.am, APL.DE.AP",Real Name,Medium,real_name,identity
Q282,What year was Little Brother born?,2001,2002,1984,2000,Birth Year,Easy,birth_year,"bio,origin"
Q283,Which city or region is Little Brother associated with?,"Durham, NC","Las Vegas, NV","Canton, OH","Brownsville, Brooklyn",Origin,Easy,origin,location
Q284,What is the real name of Little Brother?,"Phonte, Rapper Big Pooh",LaRon Louis James Sr.,Cameron Ezike Giles,"Imani, Slimkid3, Bootie Brown, Fatlip",Real Name,Medium,real_name,identity
Q285,What year was Pusha T born?,1977,1996,1995,1973,Birth Year,Easy,birth_year,"bio,origin"
Q286,Which city or region is Pusha T associated with?,"Virginia Beach, VA","The Bronx, NY","Pontiac, MI","Yonkers, NY",Origin,Easy,origin,location
Q287,What is the real name of Pusha T?,Terrence LeVarr Thornton,Radric Delantic Davis,Rakim Athelaston Mayers,Various Members,Real Name,Medium,real_name,identity
Q288,What year was Lil Durk born?,1992,1984,1991,1994,Birth Year,Easy,birth_year,"bio,origin"
Q289,Which city or region is Lil Durk associated with?,"Chicago, IL","Fayetteville, NC","London, ON","Queens, NY",Origin,Easy,origin,location
Q290,What is the real name of Lil Durk?,Durk Derrick Banks,"Wyclef Jean, Ms. Lauryn Hill, Pras",Tracy Lauren Marrow,Anthony Cruz,Real Name,Medium,real_name,identity
Q291,What year was Big K.R.I.T. born?,1986,1987,1975,1976,Birth Year,Easy,birth_year,"bio,origin"
Q292,Which city or region is Big K.R.I.T. associated with?,"Meridian, MS","Bronx, NY","Kansas City, MO","Bowling Green, KY",Origin,Easy,origin,location
Q293,What is the real name of Big K.R.I.T.?,Justin Lewis Scott,"N.A.R.D., Belo Zero, AK-47",Gary Maurice Lucas Jr.,Azealia Amanda Banks,Real Name,Medium,real_name,identity
Q294,What year was Common born?,1972,1989,1998,1996,Birth Year,Easy,birth_year,"bio,origin"
Q295,Which city or region is Common associated with?,"Chicago, IL","Atlanta, GA","Durham, NC","Miami, FL",Origin,Easy,origin,location
Q296,What is the real name of Common?,Lonnie Rashid Lynn,Fatimah Nyeema Warner,Jason Powers,Jonathan Lyndale Kirk,Real Name,Medium,real_name,identity
Q297,What year was Kid Cudi born?,1984,1962,1989,1996,Birth Year,Easy,birth_year,"bio,origin"
Q298,Which city or region is Kid Cudi associated with?,"Cleveland, OH","Kansas City, MO","College Park, GA","Harlem, NY",Origin,Easy,origin,location
Q299,What is the real name of Kid Cudi?,Scott Ramon Seguro Mescudi,Quincy Matthew Hanley,Cordae Amari Dunston,Felipe Andres Coronel,Real Name,Medium,real_name,identity
Q300,Which city or region is Beastie Boys associated with?,"New York, NY","Yonkers, NY","Inglewood, CA","Philadelphia, PA",Origin,Easy,origin,location
Q301,What is the real name of Beastie Boys?,"MCA, Mike D, Ad-Rock",Tamia Monique Carter,Jon Kevin Freeman Jr.,Ermias Joseph Asghedom,Real Name,Medium,real_name,identity
Q302,What year was Asher Roth born?,1985,1960,1986,1988,Birth Year,Easy,birth_year,"bio,origin"
Q303,Which city or region is Asher Roth associated with?,"Morrisville, PA",Virginia,"Clarksdale, MS","Harlem, NY",Origin,Easy,origin,location
Q304,What is the real name of Asher Roth?,Asher Paul Roth,Caresha Romeka Brownlee,Ian Matthias Bavitz,Shadrach Kabango,Real Name,Medium,real_name,identity
Q305,What year was Hieroglyphics born?,1991,1958,1967,2002,Birth Year,Easy,birth_year,"bio,origin"
Q306,Which city or region is Hieroglyphics associated with?,"Oakland, CA","San Francisco, CA","Wyandanch, NY","Pittsburgh, PA",Origin,Easy,origin,location
Q307,Which city or region is Coast Contra associated with?,"Los Angeles, CA","Meridian, MS","Mount Vernon, NY","Milwaukee, WI",Origin,Easy,origin,location
Q308,What is the real name of Coast Contra?,"Rio Loz, Ras Austin, Taj Austin, Eric Jamal",Victor Kwesi Mensah,Tyler-Justin Anthony Sharpe,Jackman Thomas Harlow,Real Name,Medium,real_name,identity
Q309,What year was Flo Rida born?,1979,1974,1966,1997,Birth Year,Easy,birth_year,"bio,origin"
Q310,Which city or region is Flo Rida associated with?,"Miami, FL","Mobile, AL","Kansas City, MO","Watts, CA",Origin,Easy,origin,location
Q311,What is the real name of Flo Rida?,Tramar Lacel Dillard,Jean-Jacques Cadet,Corey Woods,Bobby Ray Simmons Jr.,Real Name,Medium,real_name,identity
Q312,What year was Lil Dicky born?,1988,1987,1975,1973,Birth Year,Easy,birth_year,"bio,origin"
Q313,Which city or region is Lil Dicky associated with?,"Cheltenham Township, PA","Wyandanch, NY","Toronto, ON","Virginia Beach, VA",Origin,Easy,origin,location
Q314,What is the real name of Lil Dicky?,David Andrew Burd,Destin Choice Route,Aaron Bernard Tyler,Earl Simmons,Real Name,Medium,real_name,identity
Q315,What year was Joyner Lucas born?,1988,1968,1970,1989,Birth Year,Easy,birth_year,"bio,origin"
Q316,Which city or region is Joyner Lucas associated with?,"Worcester, MA","Durham, NC","Chicago, IL","Newark, NJ",Origin,Easy,origin,location
Q317,What is the real name of Joyner Lucas?,Gary Maurice Lucas Jr.,"Salt, Pepa",Belcalis Marlenis Almánzar,Cordae Amari Dunston,Real Name,Medium,real_name,identity
Q318,What year was Ice-T born?,1958,1991,2008,1985,Birth Year,Easy,birth_year,"bio,origin"
Q319,Which city or region is Ice-T associated with?,"Newark, NJ","Miami, FL","Bronx, NY","Manhattan, NY",Origin,Easy,origin,location
Q320,What is the real name of Ice-T?,Tracy Lauren Marrow,Melissa Arnette Elliott,Lonnie Rashid Lynn,Jean-Jacques Cadet,Real Name,Medium,real_name,identity
Q321,What year was N.O.R.E. born?,1977,1998,1979,1997,Birth Year,Easy,birth_year,"bio,origin"
Q322,Which city or region is N.O.R.E. associated with?,"Queens, NY","Raleigh, NC","Hempstead, NY","Montgomery, AL",Origin,Easy,origin,location
Q323,What is the real name of N.O.R.E.?,Victor James Santiago Jr.,Curtis Eugene Cross,Avery Marcel Joshua Jones,Jordan Michael Houston III,Real Name,Medium,real_name,identity
Q324,What year was Beanie Sigel born?,1974,1981,1985,1993,Birth Year,Easy,birth_year,"bio,origin"
Q325,Which city or region is Beanie Sigel associated with?,"Philadelphia, PA","Corona, Queens","Long Beach, CA","Winston-Salem, NC",Origin,Easy,origin,location
Q326,What is the real name of Beanie Sigel?,Dwight Equan Grant,Bashir Yagami,Joseph Guillermo Jones II,Troy Donald Jamerson,Real Name,Medium,real_name,identity
Q327,What year was Blu born?,1983,1998,1970,1991,Birth Year,Easy,birth_year,"bio,origin"
Q328,Which city or region is Blu associated with?,"Los Angeles, CA","Chicago, IL","Murfreesboro, TN","Cheltenham Township, PA",Origin,Easy,origin,location
Q329,What is the real name of Blu?,Johnson Barnes III,Dieuson Octave,Angel Del Villar II,Coi Leray Collins,Real Name,Medium,real_name,identity
Q330,What year was Freestyle Fellowship born?,1991,1969,1992,1984,Birth Year,Easy,birth_year,"bio,origin"
Q331,Which city or region is Freestyle Fellowship associated with?,"Los Angeles, CA","Mandeville, Jamaica",Virginia,"Portland, OR",Origin,Easy,origin,location
Q332,What is the real name of Freestyle Fellowship?,"Aceyalone, P.E.A.C.E., Myka 9, Self Jupiter",Torrence Ivy Hatch Jr.,John David Jackson,Mach-Hommy,Real Name,Medium,real_name,identity
Q333,What year was Immortal Technique born?,1978,1966,2001,2008,Birth Year,Easy,birth_year,"bio,origin"
Q334,Which city or region is Immortal Technique associated with?,"Lima, Peru","Cheltenham Township, PA","Miami, FL","Hempstead, NY",Origin,Easy,origin,location
Q335,What is the real name of Immortal Technique?,Felipe Andres Coronel,Christopher George Latore Wallace,Todd Anthony Shaw,Timothy Elpadaro Thedford,Real Name,Medium,real_name,identity
Q336,What year was Nappy Roots born?,1995,1983,1991,2000,Birth Year,Easy,birth_year,"bio,origin"
Q337,Which city or region is Nappy Roots associated with?,"Bowling Green, KY","Long Island, NY","Gary, IN","Manhattan, NY",Origin,Easy,origin,location
Q338,What is the real name of Nappy Roots?,"Skinny DeVille, B. Stille, Ron Clutch, Fish Scales","Prodigy, Havoc",Barry Adrian Reese,Reginald Noble,Real Name,Medium,real_name,identity
Q339,What year was RZA born?,1969,1983,1977,1960,Birth Year,Easy,birth_year,"bio,origin"
Q340,Which city or region is RZA associated with?,"Brownsville, Brooklyn","Fresno, CA","Lima, Peru","Miami Gardens, FL",Origin,Easy,origin,location
Q341,What is the real name of RZA?,Robert Fitzgerald Diggs,Ian Matthias Bavitz,Dwight Equan Grant,Xavier Landum,Real Name,Medium,real_name,identity
Q342,What year was Snoop Dogg born?,1971,1987,1985,1980,Birth Year,Easy,birth_year,"bio,origin"
Q343,Which city or region is Snoop Dogg associated with?,"Long Beach, CA","Murfreesboro, TN","Brownsville, Brooklyn","Durham, NC",Origin,Easy,origin,location
Q344,What is the real name of Snoop Dogg?,Calvin Cordozar Broadus Jr.,Jeffrey James Sidhoo,Katrina Laverne Taylor,Thebe Neruda Kgositsile,Real Name,Medium,real_name,identity
Q345,What year was YG born?,1990,2000,1984,1996,Birth Year,Easy,birth_year,"bio,origin"
Q346,Which city or region is YG associated with?,"Compton, CA","Watts, CA","South Gate, CA","Vallejo, CA",Origin,Easy,origin,location
Q347,What is the real name of YG?,Keenon Dequan Ray Jackson,Jaylah Ji'mya Hickmon,Kenny Mason,Bryson Lashun Potts,Real Name,Medium,real_name,identity
Q348,What year was Trick Daddy born?,1973,1995,1962,1991,Birth Year,Easy,birth_year,"bio,origin"
Q349,Which city or region is Trick Daddy associated with?,"Miami, FL","Baltimore, MD","Fresno, CA","Cheltenham Township, PA",Origin,Easy,origin,location
Q350,What is the real name of Trick Daddy?,Maurice Samuel Young,Herbert Anthony Stevens IV,"Salt, Pepa",Wasalu Muhammad Jaco,Real Name,Medium,real_name,identity
Q351,What year was André 3000 born?,1975,1971,1972,1981,Birth Year,Easy,birth_year,"bio,origin"
Q352,Which city or region is André 3000 associated with?,"Atlanta, GA","Irvine, CA","Clarksdale, MS","Milwaukee, WI",Origin,Easy,origin,location
Q353,What is the real name of André 3000?,André Lauren Benjamin,Kanye Omari West,Anthony Tremaine Dixson,Robert Fitzgerald Diggs,Real Name,Medium,real_name,identity
Q354,What year was Crucial Conflict born?,1995,1975,1966,1999,Birth Year,Easy,birth_year,"bio,origin"
Q355,Which city or region is Crucial Conflict associated with?,"Chicago, IL","Oxnard, CA","Miami, FL","Atlanta, GA",Origin,Easy,origin,location
Q356,What is the real name of Crucial Conflict?,"Coldhard, Wildstyle, Kilo, Never",Tracy Lauren Marrow,Duval Clear,Various Artists,Real Name,Medium,real_name,identity
Q357,What year was Mickey Factz born?,1982,1969,1998,1984,Birth Year,Easy,birth_year,"bio,origin"
Q358,Which city or region is Mickey Factz associated with?,"Bronx, NY","Winston-Salem, NC","Snow Hill, NC","Brookhaven, MS",Origin,Easy,origin,location
Q359,What is the real name of Mickey Factz?,Mark Anthony Williams Jr.,Keith Farrelle Cozart,Lola Chantrelle Mitchell,Tyler-Justin Anthony Sharpe,Real Name,Medium,real_name,identity
Q360,What year was Slum Village born?,1996,1962,1969,1967,Birth Year,Easy,birth_year,"bio,origin"
Q361,Which city or region is Slum Village associated with?,"Detroit, MI","Portland, OR","Corona, Queens","Oakland, CA",Origin,Easy,origin,location
Q362,What is the real name of Slum Village?,"T3, J Dilla, Baatin, Elzhi, J Illa, Young RJ",Hykeem Jamaal Carter Jr.,Trevor George Smith Jr.,Kendrick Lamar Duckworth,Real Name,Medium,real_name,identity
Q363,What year was Tobe Nwigwe born?,1987,1972,1996,1962,Birth Year,Easy,birth_year,"bio,origin"
Q364,Which city or region is Tobe Nwigwe associated with?,"Houston, TX","New York City, NY","Bronx, NY","Boston, MA",Origin,Easy,origin,location
Q365,What is the real name of Tobe Nwigwe?,Tobe Nwigwe,Alyssa Michelle Stephens,Russell Santiago,Belcalis Marlenis Almánzar,Real Name,Medium,real_name,identity
Q366,What year was Kemba born?,1990,1985,1991,1983,Birth Year,Easy,birth_year,"bio,origin"
Q367,Which city or region is Kemba associated with?,"Bronx, NY","Mitcham, London","Gadsden, AL","Portsmouth, VA",Origin,Easy,origin,location
Q368,What is the real name of Kemba?,Matthew Jefferson,Dwayne Michael Carter Jr.,Jeremie Damon Pennick,"Bun B, Pimp C",Real Name,Medium,real_name,identity
Q369,What year was Buddy born?,1993,1976,1999,1974,Birth Year,Easy,birth_year,"bio,origin"
Q370,Which city or region is Buddy associated with?,"Compton, CA","Central Islip, NY","Baton Rouge, LA","Bronx, NY",Origin,Easy,origin,location
Q371,What is the real name of Buddy?,Simmie Sims III,Jonathan Lyndale Kirk,Terrence LeVarr Thornton,"T3, J Dilla, Baatin, Elzhi, J Illa, Young RJ",Real Name,Medium,real_name,identity
Q372,What year was Coi Leray born?,1997,1960,1993,1992,Birth Year,Easy,birth_year,"bio,origin"
Q373,Which city or region is Coi Leray associated with?,"Boston, MA","Lima, Peru","Vallejo, CA","Cape Town, South Africa",Origin,Easy,origin,location
Q374,What is the real name of Coi Leray?,Coi Leray Collins,Carlos Coleman,Vyshonn King Miller,Kenyatta Lee Frazier Jr.,Real Name,Medium,real_name,identity
Q375,What year was DaBaby born?,1991,1987,1980,1979,Birth Year,Easy,birth_year,"bio,origin"
Q376,Which city or region is DaBaby associated with?,"Charlotte, NC","Portland, OR","New Orleans, LA","Plantation, FL",Origin,Easy,origin,location
Q377,What is the real name of DaBaby?,Jonathan Lyndale Kirk,Duval Clear,Felipe Andres Coronel,"Lazy, Krayzie, Bizzy, Wish, and Flesh-n-Bone",Real Name,Medium,real_name,identity
Q378,What year was Kendrick Lamar born?,1987,1989,1969,1966,Birth Year,Easy,birth_year,"bio,origin"
Q379,Which city or region is Kendrick Lamar associated with?,"Compton, CA","Queens, NY","Virginia Beach, VA","Dallas, TX",Origin,Easy,origin,location
Q380,What is the real name of Kendrick Lamar?,Kendrick Lamar Duckworth,Dominique Armani Jones,Nayvadius DeMun Wilburn,Artist Julius Dubose,Real Name,Medium,real_name,identity
Q381,What year was Paul Wall born?,1981,1966,1992,1965,Birth Year,Easy,birth_year,"bio,origin"
Q382,Which city or region is Paul Wall associated with?,"Houston, TX","Fresno, CA","Brooklyn, NY","Bay Area, CA",Origin,Easy,origin,location
Q383,What is the real name of Paul Wall?,Paul Micheal Slayton,Brandon Paak Anderson,Angel Del Villar II,Alvin Nathaniel Joiner,Real Name,Medium,real_name,identity
Q384,What year was Del the Funky Homosapien born?,1972,1995,1962,2008,Birth Year,Easy,birth_year,"bio,origin"
Q385,Which city or region is Del the Funky Homosapien associated with?,"Oakland, CA","New York City, NY","Durham, NC","Vallejo, CA",Origin,Easy,origin,location
Q386,What is the real name of Del the Funky Homosapien?,Teren Delvon Jones,Reminisce Kioni Mackie,Lavell William Crump,Ray Vaughn Jr.,Real Name,Medium,real_name,identity
Q387,What year was MC Lyte born?,1970,1980,1998,1997,Birth Year,Easy,birth_year,"bio,origin"
Q388,Which city or region is MC Lyte associated with?,"Brooklyn, NY","New York City, NY","Milwaukee, WI","Gary, IN",Origin,Easy,origin,location
Q389,What is the real name of MC Lyte?,Lana Michele Moorer,Quincy Matthew Hanley,Tyler-Justin Anthony Sharpe,Tyler Gregory Okonma,Real Name,Medium,real_name,identity
Q390,What year was Playboi Carti born?,1996,1994,1978,1962,Birth Year,Easy,birth_year,"bio,origin"
Q391,Which city or region is Playboi Carti associated with?,"Atlanta, GA","Winston-Salem, NC","Hempstead, NY","Cheltenham Township, PA",Origin,Easy,origin,location
Q392,What is the real name of Playboi Carti?,Jordan Terrell Carter,Sir Robert Bryson Hall II,Kenyatta Lee Frazier Jr.,Dominique Armani Jones,Real Name,Medium,real_name,identity
Q393,What year was Freeway born?,1978,1997,1967,1974,Birth Year,Easy,birth_year,"bio,origin"
Q394,Which city or region is Freeway associated with?,"Philadelphia, PA","Newark, NJ","Oxnard, CA","St. Louis, MO",Origin,Easy,origin,location
Q395,What is the real name of Freeway?,Leslie Edward Pridgen,Earl Tywone Stevens,Michael Lawrence Tyler,Lakeyah Danaee Robinson,Real Name,Medium,real_name,identity
Q396,What year was Jay Electronica born?,1976,1998,2002,1958,Birth Year,Easy,birth_year,"bio,origin"
Q397,Which city or region is Jay Electronica associated with?,"New Orleans, LA","Fayetteville, NC","Hempstead, NY","Staten Island, NY",Origin,Easy,origin,location
Q398,What is the real name of Jay Electronica?,Timothy Elpadaro Thedford,Jatavia Shakara Johnson,Sean Michael Leonard Anderson,Kamaal Ibn John Fareed,Real Name,Medium,real_name,identity
Q399,What year was Wale born?,1984,1991,1997,1966,Birth Year,Easy,birth_year,"bio,origin"
Q400,Which city or region is Wale associated with?,"Washington, D.C.","Philadelphia, PA","Savannah, GA","Spanish Harlem, NY",Origin,Easy,origin,location
Q401,What is the real name of Wale?,Olubowale Victor Akintimehin,Tauheed K. Epps,Nashid Sulaiman,Simmie Sims III,Real Name,Medium,real_name,identity
